order_id,order_time,user_id,product_id,channel,province,city,quantity,unit_price,discount_amount,pay_amount,order_status,pay_type
SO20260601000001,2026-06-01 11:55:24,U018214,P00111,APP商城,江西省,南昌市,1,-6652.39,722.80,5929.59,已退款,支付宝
SO20260601000001,2026/06/01 11:55,U018214,P00093,APP商城,江西省,南昌市,1,395.84,84.51,311.33,已退款,支付宝
SO20260601000002,2026-06-01 16:45:20,U039840,P00095,APP商城,,成都市,1,543.32,83.15,460.17,已完成,支付宝
SO20260601000002,2026-06-01 16:45:20,U039840,P00117,APP商城,四川省,成都市,2,112.18,20.99,203.37,已完成,支付宝
SO20260601000002,2026-06-01 16:45:20,U039840,P00192,APP商城,四川省,成都市,1,2345.34,132.31,2213.03,已完成,支付宝
SO20260601000003,2026-06-01 19:20:42,U022396,P00015,京东自营,湖南省,长沙市,1,8012.96,0.00,8012.96,已完成,货到付款
SO20260601000003,2026-06-01 19:20:42,U022396,P00159,京东自营,湖南省,长沙市,1,8027.98,0.00,8027.98,已完成,货到付款
SO20260601000004,2026-06-01 14:05:44,U045891,P00024,天猫旗舰店,江苏省,无锡市,1,105.00,16.85,88.15,已完成,支付宝
SO20260601000004,2026-06-01 14:05:44,U045891,P00128,天猫旗舰店,江苏省,无锡市,1,1129.93,0.00,1129.93,已完成,支付宝
SO20260601000005,2026-06-01 18:22:30,U043017,P00196,天猫旗舰店,黑龙江省,哈尔滨市,3,146.80,0.00,440.40,已完成,微信支付
SO20260601000005,2026-06-01 18:22:30,U043017,P00068,天猫旗舰店,黑龙江省,哈尔滨市,1,77.87,0.00,77.87,已完成,微信支付
SO20260601000006,2026-06-01 17:16:11,U018548,P00001,APP商城,湖北省,宜昌市,1,6023.29,1184.04,4839.25,已完成,微信支付
SO20260601000007,2026-06-01 13:43:12,U059998,P00022,微信小程序,河北省,保定市,1,158.08,0.00,158.08,已完成,支付宝
SO20260601000007,2026-06-01 13:43:12,U059998,P00081,微信小程序,河北省,保定市,1,1317.93,309.53,1008.40,已完成,支付宝
