product_id,product_name,category_id,category_name,brand,cost_price,launch_date
P00001,金龙鱼 手撕面包 500g,C04,食品生鲜,金龙鱼,183.73,2024-03-30
P00002,太平鸟 直筒牛仔裤 M码,C03,服饰鞋包,太平鸟,201.60,2026-03-19
P00003,太平鸟 直筒牛仔裤 S码,C03,服饰鞋包,太平鸟,289.53,2024-06-14
P00004,良品铺子 手撕面包 1.8L,C04,食品生鲜,良品铺子,144.35,2025-09-18
P00005,骆驼 户外折叠椅 XL码,C08,运动户外,骆驼,284.24,2025-09-02
P00006,珀莱雅 轻薄粉底液 正装,C05,美妆个护,珀莱雅,313.20,2025-01-05
P00007,读客文化 计算机专业书 典藏版,C09,图书文娱,读客文化,14.04,2025-12-12
P00008,良品铺子 常温酸奶 750ml,C04,食品生鲜,良品铺子,16.07,2026-01-22
P00009,优衣库 男士休闲夹克 XL码,C03,服饰鞋包,优衣库,41.26,2024-02-11
P00010,华为 X系列 12+256G,C01,手机数码,华为,4021.28,2025-02-21
P00011,森马 轻便跑鞋 M码,C03,服饰鞋包,森马,355.40,2023-10-17
P00012,苏泊尔 对开门冰箱 1.75L,C02,家用电器,苏泊尔,3567.16,2024-03-05
P00013,森马 轻便跑鞋 S码,C03,服饰鞋包,森马,24.83,2025-11-22
P00014,良品铺子 食用调和油 1L,C04,食品生鲜,良品铺子,179.15,2023-08-20
P00015,贝亲 婴儿洗衣液 标准装,C06,母婴玩具,贝亲,1434.66,2024-06-04
P00016,优衣库 轻便跑鞋 L码,C03,服饰鞋包,优衣库,387.95,2023-03-26
P00017,林氏木业 实木双人床 60cm,C07,家居家装,林氏木业,3751.40,2023-04-08
P00018,九牧 布艺三人沙发 1.5米床,C07,家居家装,九牧,836.24,2024-06-29
P00019,米其林 静音轮胎 通用型,C10,汽车用品,米其林,349.44,2024-03-13
P00020,安踏 专业登山背包 40码,C08,运动户外,安踏,714.67,2023-10-11
P00021,太平鸟 直筒牛仔裤 L码,C03,服饰鞋包,太平鸟,369.72,2023-07-14
P00022,花西子 水乳套装 10片装,C05,美妆个护,花西子,303.47,2023-09-21
P00023,青蛙王子 益智积木套装 1L,C06,母婴玩具,青蛙王子,663.08,2023-10-26
P00024,海澜之家 男士休闲夹克 M码,C03,服饰鞋包,海澜之家,431.73,2023-05-22
P00025,安踏 减震跑鞋 XL码,C08,运动户外,安踏,257.05,2025-03-21
P00026,Apple X系列 12+256G,C01,手机数码,Apple,3722.47,2024-02-09
